Date,Open,High,Low,Close,Adj Close,Volume
2020-07-12,0.003811,0.003844,0.003614,0.003630,0.003630,87562043
2020-07-13,0.003630,0.003636,0.003059,0.003178,0.003178,143177055
2020-07-14,0.003169,0.003369,0.003061,0.003294,0.003294,103213409
2020-07-15,0.003287,0.003303,0.003074,0.003085,0.003085,69399827
2020-07-16,0.003086,0.003098,0.002893,0.002995,0.002995,78457844
2020-07-17,0.002991,0.003084,0.002937,0.003061,0.003061,74705371
2020-07-18,0.003060,0.003629,0.003031,0.003473,0.003473,204080851
2020-07-19,0.003464,0.003753,0.003329,0.003382,0.003382,116746163
2020-07-20,0.003383,0.003433,0.003167,0.003239,0.003239,81038624
2020-07-21,0.003232,0.003309,0.003187,0.003305,0.003305,77748189
2020-07-22,0.003302,0.003304,0.003221,0.003285,0.003285,54443238
2020-07-23,0.003283,0.003321,0.003265,0.003295,0.003295,58737115
2020-07-24,0.003295,0.003323,0.003177,0.003220,0.003220,58910215
2020-07-25,0.003219,0.003295,0.003189,0.003234,0.003234,63203396
2020-07-26,0.003238,0.003270,0.003184,0.003235,0.003235,62592233
2020-07-27,0.003234,0.003243,0.003040,0.003153,0.003153,83138808
2020-07-28,0.003155,0.003219,0.003132,0.003197,0.003197,63084930
2020-07-29,0.003198,0.003262,0.003175,0.003192,0.003192,55817191
2020-07-30,0.003192,0.003244,0.003163,0.003231,0.003231,53506822
2020-07-31,0.003229,0.003240,0.003181,0.003225,0.003225,54497306
2020-08-01,0.003225,0.003797,0.003203,0.003689,0.003689,150687884
2020-08-02,0.003696,0.003736,0.003266,0.003336,0.003336,101249531
2020-08-03,0.003336,0.003441,0.003308,0.003389,0.003389,66931510
2020-08-04,0.003389,0.003561,0.003376,0.003535,0.003535,74386428
2020-08-05,0.003543,0.003577,0.003485,0.003513,0.003513,66465690
2020-08-06,0.003517,0.003636,0.003461,0.003560,0.003560,62944678
2020-08-07,0.003563,0.003611,0.003425,0.003533,0.003533,68990009
2020-08-08,0.003534,0.003536,0.003453,0.003510,0.003510,62509900
2020-08-09,0.003508,0.003533,0.003430,0.003463,0.003463,57020040
2020-08-10,0.003468,0.003557,0.003454,0.003499,0.003499,68038181
2020-08-11,0.003495,0.003571,0.003346,0.003394,0.003394,78539442
2020-08-12,0.003397,0.003534,0.003341,0.003484,0.003484,70865885
2020-08-13,0.003483,0.003549,0.003365,0.003517,0.003517,73302994
2020-08-14,0.003514,0.003579,0.003476,0.003561,0.003561,61334640
2020-08-15,0.003563,0.003607,0.003500,0.003539,0.003539,64309678
2020-08-16,0.003540,0.003552,0.003469,0.003524,0.003524,52637926
2020-08-17,0.003524,0.003718,0.003500,0.003591,0.003591,77628715
2020-08-18,0.003593,0.003709,0.003483,0.003514,0.003514,62570291
2020-08-19,0.003508,0.003538,0.003368,0.003424,0.003424,53306857
2020-08-20,0.003424,0.003499,0.003390,0.003459,0.003459,43536656
2020-08-21,0.003457,0.003554,0.003389,0.003393,0.003393,60621268
2020-08-22,0.003392,0.003447,0.003354,0.003442,0.003442,44884852
2020-08-23,0.003438,0.003453,0.003388,0.003414,0.003414,39485548
2020-08-24,0.003410,0.003465,0.003386,0.003418,0.003418,46470522
2020-08-25,0.003418,0.003434,0.003239,0.003305,0.003305,76826314
2020-08-26,0.003301,0.003345,0.003251,0.003303,0.003303,80416711
2020-08-27,0.003300,0.003314,0.003165,0.003203,0.003203,89847093
2020-08-28,0.003203,0.003271,0.003182,0.003268,0.003268,64056957
2020-08-29,0.003267,0.003301,0.003242,0.003282,0.003282,78149363
2020-08-30,0.003284,0.003344,0.003274,0.003300,0.003300,79325829
2020-08-31,0.003301,0.003308,0.003204,0.003221,0.003221,85369757
2020-09-01,0.003220,0.003281,0.003194,0.003256,0.003256,81863764
2020-09-02,0.003258,0.003266,0.003065,0.003122,0.003122,56647412
2020-09-03,0.003122,0.003134,0.002790,0.002802,0.002802,59904548
2020-09-04,0.002799,0.002958,0.002753,0.002899,0.002899,53434717
2020-09-05,0.002900,0.002934,0.002720,0.002758,0.002758,62295889
2020-09-06,0.002758,0.002814,0.002704,0.002787,0.002787,89557154
2020-09-07,0.002787,0.002832,0.002708,0.002811,0.002811,102610335
2020-09-08,0.002820,0.002834,0.002700,0.002756,0.002756,57144396
2020-09-09,0.002758,0.002807,0.002704,0.002779,0.002779,77050464
2020-09-10,0.002792,0.002859,0.002752,0.002805,0.002805,104276032
2020-09-11,0.002805,0.002825,0.002742,0.002806,0.002806,134077501
2020-09-12,0.002802,0.002831,0.002781,0.002819,0.002819,117125272
2020-09-13,0.002819,0.002824,0.002746,0.002776,0.002776,124253232
2020-09-14,0.002776,0.002843,0.002742,0.002803,0.002803,128520946
2020-09-15,0.002799,0.002878,0.002785,0.002832,0.002832,100194174
2020-09-16,0.002831,0.002859,0.002791,0.002826,0.002826,148555505
2020-09-17,0.002824,0.002859,0.002781,0.002814,0.002814,161305349
2020-09-18,0.002814,0.002825,0.002749,0.002804,0.002804,147868185
2020-09-19,0.002796,0.002814,0.002773,0.002794,0.002794,147046520
2020-09-20,0.002794,0.002806,0.002722,0.002778,0.002778,145951917
2020-09-21,0.002778,0.002802,0.002616,0.002630,0.002630,78753428
2020-09-22,0.002625,0.002672,0.002604,0.002656,0.002656,36467574
2020-09-23,0.002656,0.002675,0.002559,0.002564,0.002564,29993627
2020-09-24,0.002564,0.002660,0.002558,0.002644,0.002644,30967522
2020-09-25,0.002644,0.002719,0.002629,0.002706,0.002706,39515148
2020-09-26,0.002708,0.002749,0.002691,0.002708,0.002708,36770554
2020-09-27,0.002708,0.002733,0.002683,0.002701,0.002701,24673035
2020-09-28,0.002701,0.002739,0.002651,0.002658,0.002658,35610656
2020-09-29,0.002658,0.002710,0.002646,0.002681,0.002681,36596920
