level,name,zipcode,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,native_amer,asian,black,hisp,p_islander,white,male,female,econ_disadv,disabled,limited_eng,lat,lng
Non-Traditional,The Academy at Old Cockrill,37209,,,,,,,,,,,,,83.0,,1.0,54,8,1.0,19.0,36,47,47,10.0,6.0,36.1547218751,-86.8455535663
Non-Traditional,The Academy at Opry Mills,37214,,,,,,,,,,,,,57.0,,2.0,20,14,,21.0,26,31,22,2.0,11.0,36.2027005721,-86.69207923530001
Non-Traditional - Hybrid,The Cohn Learning Center,37209,,,,,,,,,,,11.0,42.0,,,,39,11,,3.0,25,28,41,9.0,2.0,36.1507089234,-86.8451990752
Elementary School,Thomas A. Edison Elementary,37013,154.0,133.0,158.0,170.0,157.0,,,,,,,,,2.0,18.0,286,238,1.0,260.0,428,377,327,68.0,340.0,36.0628845281,-86.6046383659
Middle School,Thurgood Marshall Middle,37013,,,,,,226.0,250.0,249.0,242.0,,,,,2.0,62.0,394,343,,166.0,502,465,382,118.0,375.0,36.0223005992,-86.6612707661
Elementary School,Tom Joy Elementary,37207,72.0,59.0,62.0,67.0,72.0,,,,,,,,,,3.0,199,116,1.0,52.0,190,181,265,41.0,91.0,36.2086474873,-86.75662302379999
Alternative Learning Center,Transitions at Bass,37209,,,,,,,,,,,3.0,3.0,,,,4,1,,1.0,3,3,6,,,36.1549780692,-86.8520459267
Elementary School,Tulip Grove Elementary,37076,92.0,119.0,86.0,102.0,108.0,,,,,,,,,5.0,18.0,210,139,1.0,180.0,298,255,224,99.0,90.0,36.1984960718,-86.610888928
Elementary School,Tusculum Elementary,37211,153.0,146.0,131.0,134.0,146.0,,,,,,,,,1.0,86.0,120,481,,85.0,392,381,388,53.0,514.0,36.0622421154,-86.71899466059999
Middle School,Two Rivers Middle,37214,,,,,,90.0,126.0,86.0,108.0,,,,,1.0,7.0,175,111,1.0,115.0,201,209,202,55.0,115.0,36.194467241,-86.6739737732
Elementary School,Una Elementary,37217,126.0,131.0,158.0,145.0,127.0,,,,,,,,,,21.0,201,271,,234.0,373,354,280,56.0,350.0,36.095030361300005,-86.6528803773
Charter,Valor Flagship Academy,37211,,,,,,124.0,128.0,125.0,123.0,237.0,206.0,,,,57.0,149,189,4.0,544.0,468,475,252,87.0,231.0,36.0708005834,-86.725494633
Charter,Valor Voyager Academy,37211,,,,,,123.0,127.0,121.0,126.0,,,,,,24.0,76,143,,254.0,242,255,145,60.0,165.0,36.0706506329,-86.72505119790002
Adult,W. A. Bass Adult Program,37209,,,,,,,,,,31.0,31.0,101.0,99.0,1.0,6.0,161,48,,46.0,125,137,127,32.0,84.0,36.1540731279,-86.8518765886
Alternative Learning Center,W.A. Bass Alternative Learning Center,37209,,,,,,,,,,19.0,23.0,32.0,19.0,1.0,,77,9,,6.0,58,35,65,23.0,6.0,36.1545841136,-86.85100165829999
Elementary School,Warner Elementary,37206,43.0,31.0,46.0,28.0,35.0,,,,,,,,,1.0,1.0,176,14,1.0,21.0,118,96,181,37.0,24.0,36.1720753383,-86.7600969964
Elementary School,Waverly-Belmont Elementary School,37204,95.0,116.0,91.0,106.0,86.0,,,,,,,,,1.0,17.0,199,19,,258.0,251,243,107,62.0,11.0,36.1264618728,-86.7866295627
Middle School,West End Middle,37205,,,,,,125.0,138.0,136.0,104.0,,,,,1.0,23.0,203,28,1.0,247.0,261,242,112,113.0,27.0,36.131974711999995,-86.8243226532
Elementary School,Westmeade Elementary,37205,72.0,101.0,80.0,88.0,81.0,,,,,,,,,2.0,24.0,143,74,1.0,178.0,238,184,132,48.0,63.0,36.0919967834,-86.8941366526
High School,Whites Creek High School,37189,,,,,,,,,,137.0,118.0,140.0,129.0,,,431,30,1.0,62.0,270,254,305,100.0,27.0,36.2766453173,-86.8188329872
Middle School,William Henry Oliver Middle,37211,,,,,,231.0,271.0,244.0,239.0,,,,,2.0,73.0,312,158,3.0,437.0,487,498,252,112.0,231.0,36.020173975700004,-86.7122071016
Middle School,Wright Middle,37211,,,,,,188.0,216.0,213.0,193.0,,,,,,33.0,138,534,1.0,104.0,443,367,400,75.0,536.0,36.1001088774,-86.73413342280001
