Year,CountyName,Unit,Value,LastReportedDate,
2016,Carroll, ACRES HARVESTED,22900,2019-04-02
2016,Carroll, PRODUCTION, MEASURED IN 480 LB BALES,58100,2019-04-02
2016,Crockett, ACRES HARVESTED,28900,2019-04-02
2016,Crockett, PRODUCTION, MEASURED IN 480 LB BALES,61400,2019-04-02
2016,Fayette, ACRES HARVESTED,21400,2019-04-02
2016,Fayette, PRODUCTION, MEASURED IN 480 LB BALES,49100,2019-04-02
2016,Gibson, ACRES HARVESTED,16500,2019-04-02
2016,Gibson, PRODUCTION, MEASURED IN 480 LB BALES,39600,2019-04-02
2016,Hardeman, ACRES HARVESTED,11900,2019-04-02
2016,Hardeman, PRODUCTION, MEASURED IN 480 LB BALES,26500,2019-04-02
2016,Haywood, ACRES HARVESTED,44500,2019-04-02
2016,Haywood, PRODUCTION, MEASURED IN 480 LB BALES,98200,2019-04-02
2016,Henderson, ACRES HARVESTED,2080,2019-04-02
2016,Henderson, PRODUCTION, MEASURED IN 480 LB BALES,4410,2019-04-02
2016,Madison, ACRES HARVESTED,12600,2019-04-02
2016,Madison, PRODUCTION, MEASURED IN 480 LB BALES,30600,2019-04-02
2016,McNairy, ACRES HARVESTED,6500,2019-04-02
2016,McNairy, PRODUCTION, MEASURED IN 480 LB BALES,14500,2019-04-02

