Year,CountyName,Unit,Value,LastReportedDate,
2016,Bedford, ACRES HARVESTED,5300,2019-04-02
2016,Bedford, PRODUCTION, MEASURED IN BU,780000,2019-04-02
2016,Bledsoe, ACRES HARVESTED,1900,2019-04-02
2016,Bledsoe, PRODUCTION, MEASURED IN BU,220000,2019-04-02
2016,Blount, ACRES HARVESTED,1200,2019-04-02
2016,Blount, PRODUCTION, MEASURED IN BU,117000,2019-04-02
2016,Bradley, ACRES HARVESTED,1200,2019-04-02
2016,Bradley, PRODUCTION, MEASURED IN BU,60000,2019-04-02
2016,Cannon, ACRES HARVESTED,6100,2019-04-02
2016,Cannon, PRODUCTION, MEASURED IN BU,850000,2019-04-02
2016,Carroll, ACRES HARVESTED,27000,2019-04-02
2016,Carroll, PRODUCTION, MEASURED IN BU,3450000,2019-04-02
2016,Carter, ACRES HARVESTED,300,2019-04-02
2016,Carter, PRODUCTION, MEASURED IN BU,38500,2019-04-02
2016,Claiborne, ACRES HARVESTED,700,2019-04-02
2016,Claiborne, PRODUCTION, MEASURED IN BU,78000,2019-04-02
2016,Cocke, ACRES HARVESTED,1150,2019-04-02
2016,Cocke, PRODUCTION, MEASURED IN BU,120000,2019-04-02
2016,Coffee, ACRES HARVESTED,20500,2019-04-02
2016,Coffee, PRODUCTION, MEASURED IN BU,3355000,2019-04-02
2016,Crockett, ACRES HARVESTED,22500,2019-04-02
2016,Crockett, PRODUCTION, MEASURED IN BU,3600000,2019-04-02
2016,Cumberland, ACRES HARVESTED,900,2019-04-02
2016,Cumberland, PRODUCTION, MEASURED IN BU,103000,2019-04-02
2016,Decatur, ACRES HARVESTED,1900,2019-04-02
2016,Decatur, PRODUCTION, MEASURED IN BU,295000,2019-04-02
2016,Fayette, ACRES HARVESTED,21500,2019-04-02
2016,Fayette, PRODUCTION, MEASURED IN BU,3400000,2019-04-02
2016,Fentress, ACRES HARVESTED,700,2019-04-02
2016,Fentress, PRODUCTION, MEASURED IN BU,77700,2019-04-02
2016,Franklin, ACRES HARVESTED,19200,2019-04-02
2016,Franklin, PRODUCTION, MEASURED IN BU,3124000,2019-04-02
2016,Gibson, ACRES HARVESTED,74000,2019-04-02
2016,Gibson, PRODUCTION, MEASURED IN BU,10740000,2019-04-02
2016,Giles, ACRES HARVESTED,13500,2019-04-02
2016,Giles, PRODUCTION, MEASURED IN BU,2200000,2019-04-02
2016,Grainger, ACRES HARVESTED,450,2019-04-02
2016,Grainger, PRODUCTION, MEASURED IN BU,35000,2019-04-02
2016,Greene, ACRES HARVESTED,3850,2019-04-02
2016,Greene, PRODUCTION, MEASURED IN BU,436000,2019-04-02
2016,Grundy, ACRES HARVESTED,2600,2019-04-02
2016,Grundy, PRODUCTION, MEASURED IN BU,320000,2019-04-02
2016,Hardin, ACRES HARVESTED,8500,2019-04-02
2016,Hardin, PRODUCTION, MEASURED IN BU,1150000,2019-04-02
2016,Hawkins, ACRES HARVESTED,950,2019-04-02
2016,Hawkins, PRODUCTION, MEASURED IN BU,95000,2019-04-02
2016,Haywood, ACRES HARVESTED,30500,2019-04-02
2016,Haywood, PRODUCTION, MEASURED IN BU,5450000,2019-04-02
2016,Henderson, ACRES HARVESTED,10100,2019-04-02
2016,Henderson, PRODUCTION, MEASURED IN BU,1180000,2019-04-02
2016,Henry, ACRES HARVESTED,39000,2019-04-02
2016,Henry, PRODUCTION, MEASURED IN BU,5700000,2019-04-02
2016,Hickman, ACRES HARVESTED,3400,2019-04-02
2016,Hickman, PRODUCTION, MEASURED IN BU,560000,2019-04-02
2016,Humphreys, ACRES HARVESTED,5600,2019-04-02
2016,Humphreys, PRODUCTION, MEASURED IN BU,855000,2019-04-02
2016,Jackson, ACRES HARVESTED,550,2019-04-02
2016,Jackson, PRODUCTION, MEASURED IN BU,86000,2019-04-02
2016,Lauderdale, ACRES HARVESTED,22300,2019-04-02
2016,Lauderdale, PRODUCTION, MEASURED IN BU,3450000,2019-04-02
2016,Lawrence, ACRES HARVESTED,22000,2019-04-02
2016,Lawrence, PRODUCTION, MEASURED IN BU,3300000,2019-04-02
2016,Lincoln, ACRES HARVESTED,16500,2019-04-02
2016,Lincoln, PRODUCTION, MEASURED IN BU,2700000,2019-04-02
2016,Macon, ACRES HARVESTED,4000,2019-04-02
2016,Macon, PRODUCTION, MEASURED IN BU,660000,2019-04-02
2016,Madison, ACRES HARVESTED,24700,2019-04-02
2016,Madison, PRODUCTION, MEASURED IN BU,4200000,2019-04-02
2016,Marion, ACRES HARVESTED,1800,2019-04-02
2016,Marion, PRODUCTION, MEASURED IN BU,210000,2019-04-02
2016,Marshall, ACRES HARVESTED,3200,2019-04-02
2016,Marshall, PRODUCTION, MEASURED IN BU,420000,2019-04-02
2016,Maury, ACRES HARVESTED,9300,2019-04-02
2016,Maury, PRODUCTION, MEASURED IN BU,1200000,2019-04-02
2016,McNairy, ACRES HARVESTED,6100,2019-04-02
2016,McNairy, PRODUCTION, MEASURED IN BU,790000,2019-04-02
2016,Meigs, ACRES HARVESTED,900,2019-04-02
2016,Meigs, PRODUCTION, MEASURED IN BU,45000,2019-04-02
2016,Monroe, ACRES HARVESTED,2900,2019-04-02
2016,Monroe, PRODUCTION, MEASURED IN BU,265000,2019-04-02
2016,Montgomery, ACRES HARVESTED,17800,2019-04-02
