vacc_date,zipcode,count_given,dose_nbr,protocol
2020-12-18,37212.0,1.0,2.0,two-shot
2020-12-18,37213.0,1.0,1.0,two-shot
2020-12-18,37214.0,34.0,1.0,two-shot
2020-12-18,37215.0,171.0,1.0,two-shot
2020-12-18,37215.0,1.0,2.0,two-shot
2020-12-18,37216.0,30.0,1.0,two-shot
2020-12-18,37217.0,8.0,1.0,two-shot
2020-12-18,37218.0,13.0,1.0,two-shot
2020-12-18,37219.0,3.0,1.0,two-shot
2020-12-18,37220.0,25.0,1.0,two-shot
2020-12-18,37221.0,136.0,1.0,two-shot
2020-12-18,37228.0,2.0,1.0,two-shot
2020-12-18,,7.0,1.0,two-shot
2020-12-19,37013.0,60.0,1.0,two-shot
2020-12-19,37072.0,37.0,1.0,two-shot
2020-12-19,37076.0,55.0,1.0,two-shot
2020-12-19,37076.0,1.0,2.0,two-shot
2020-12-19,37080.0,7.0,1.0,two-shot
2020-12-19,37115.0,17.0,1.0,two-shot
2020-12-19,37138.0,23.0,1.0,two-shot
2020-12-19,37189.0,10.0,1.0,two-shot
2020-12-19,37201.0,3.0,1.0,two-shot
2020-12-19,37203.0,146.0,1.0,two-shot
2020-12-19,37203.0,2.0,2.0,two-shot
2020-12-19,37204.0,96.0,1.0,two-shot
2020-12-19,37204.0,4.0,2.0,two-shot
2020-12-19,37205.0,279.0,1.0,two-shot
2020-12-19,37205.0,4.0,2.0,two-shot
2020-12-19,37206.0,49.0,1.0,two-shot
2020-12-19,37206.0,2.0,2.0,two-shot
2020-12-19,37207.0,36.0,1.0,two-shot
2020-12-19,37208.0,60.0,1.0,two-shot
2020-12-19,37208.0,1.0,2.0,two-shot
2020-12-19,37209.0,159.0,1.0,two-shot
2020-12-19,37209.0,7.0,2.0,two-shot
2020-12-19,37210.0,15.0,1.0,two-shot
2020-12-19,37211.0,87.0,1.0,two-shot
2020-12-19,37211.0,2.0,2.0,two-shot
2020-12-19,37212.0,112.0,1.0,two-shot
2020-12-19,37214.0,32.0,1.0,two-shot
2020-12-19,37214.0,1.0,2.0,two-shot
2020-12-19,37215.0,162.0,1.0,two-shot
2020-12-19,37215.0,5.0,2.0,two-shot
2020-12-19,37216.0,30.0,1.0,two-shot
2020-12-19,37217.0,18.0,1.0,two-shot
2020-12-19,37218.0,9.0,1.0,two-shot
2020-12-19,37219.0,6.0,1.0,two-shot
2020-12-19,37220.0,32.0,1.0,two-shot
2020-12-19,37220.0,2.0,2.0,two-shot
2020-12-19,37221.0,143.0,1.0,two-shot
2020-12-19,37221.0,2.0,2.0,two-shot
2020-12-19,37228.0,4.0,1.0,two-shot
2020-12-19,,5.0,1.0,two-shot
2020-12-20,37013.0,33.0,1.0,two-shot
2020-12-20,37072.0,15.0,1.0,two-shot
2020-12-20,37076.0,26.0,1.0,two-shot
2020-12-20,37076.0,1.0,2.0,two-shot
2020-12-20,37080.0,3.0,1.0,two-shot
2020-12-20,37115.0,12.0,1.0,two-shot
2020-12-20,37138.0,10.0,1.0,two-shot
2020-12-20,37189.0,3.0,1.0,two-shot
2020-12-20,37201.0,3.0,1.0,two-shot
2020-12-20,37203.0,90.0,1.0,two-shot
2020-12-20,37204.0,47.0,1.0,two-shot
2020-12-20,37204.0,3.0,2.0,two-shot
2020-12-20,37205.0,58.0,1.0,two-shot
2020-12-20,37205.0,6.0,2.0,two-shot
2020-12-20,37206.0,51.0,1.0,two-shot
2020-12-20,37206.0,1.0,2.0,two-shot
2020-12-20,37207.0,20.0,1.0,two-shot
2020-12-20,37208.0,25.0,1.0,two-shot
2020-12-20,37208.0,1.0,2.0,two-shot
2020-12-20,37209.0,93.0,1.0,two-shot
2020-12-20,37209.0,1.0,2.0,two-shot
2020-12-20,37210.0,8.0,1.0,two-shot
2020-12-20,37211.0,50.0,1.0,two-shot
2020-12-20,37211.0,2.0,2.0,two-shot
2020-12-20,37212.0,63.0,1.0,two-shot
2020-12-20,37212.0,1.0,2.0,two-shot
2020-12-20,37214.0,16.0,1.0,two-shot
2020-12-20,37215.0,72.0,1.0,two-shot
2020-12-20,37215.0,1.0,2.0,two-shot
2020-12-20,37216.0,13.0,1.0,two-shot
2020-12-20,37217.0,4.0,1.0,two-shot
2020-12-20,37218.0,7.0,1.0,two-shot
2020-12-20,37219.0,4.0,1.0,two-shot
2020-12-20,37219.0,1.0,2.0,two-shot
2020-12-20,37220.0,13.0,1.0,two-shot
2020-12-20,37221.0,90.0,1.0,two-shot
2020-12-20,37221.0,3.0,2.0,two-shot
2020-12-20,37228.0,2.0,1.0,two-shot
2020-12-20,,3.0,1.0,two-shot
2020-12-21,37013.0,55.0,1.0,two-shot
