count,VACC_DATE,DOSE_COUNT,zip
68,12/22/2020,1,37215
24,12/22/2020,1,37216
1,12/22/2020,2,37216
22,12/22/2020,1,37217
4,12/22/2020,1,37218
5,12/22/2020,1,37219
19,12/22/2020,1,37220
97,12/22/2020,1,37221
1,12/22/2020,1,37228
6,12/23/2020,1,
92,12/23/2020,1,37013
2,12/23/2020,2,37013
2,12/23/2020,1,37027
75,12/23/2020,1,37072
1,12/23/2020,2,37072
62,12/23/2020,1,37076
11,12/23/2020,1,37080
34,12/23/2020,1,37115
48,12/23/2020,1,37138
3,12/23/2020,1,37189
2,12/23/2020,1,37201
93,12/23/2020,1,37203
46,12/23/2020,1,37204
1,12/23/2020,2,37204
181,12/23/2020,1,37205
79,12/23/2020,1,37206
1,12/23/2020,2,37206
58,12/23/2020,1,37207
30,12/23/2020,1,37208
124,12/23/2020,1,37209
20,12/23/2020,1,37210
115,12/23/2020,1,37211
1,12/23/2020,2,37211
70,12/23/2020,1,37212
1,12/23/2020,2,37212
1,12/23/2020,1,37213
67,12/23/2020,1,37214
98,12/23/2020,1,37215
3,12/23/2020,2,37215
40,12/23/2020,1,37216
27,12/23/2020,1,37217
18,12/23/2020,1,37218
5,12/23/2020,1,37219
30,12/23/2020,1,37220
154,12/23/2020,1,37221
3,12/23/2020,1,37228
1,12/24/2020,1,
19,12/24/2020,1,37013
16,12/24/2020,1,37072
18,12/24/2020,1,37076
1,12/24/2020,2,37076
6,12/24/2020,1,37080
14,12/24/2020,1,37115
19,12/24/2020,1,37138
2,12/24/2020,1,37189
27,12/24/2020,1,37203
32,12/24/2020,1,37204
39,12/24/2020,1,37205
17,12/24/2020,1,37206
14,12/24/2020,1,37207
15,12/24/2020,1,37208
81,12/24/2020,1,37209
3,12/24/2020,1,37210
42,12/24/2020,1,37211
36,12/24/2020,1,37212
18,12/24/2020,1,37214
1,12/24/2020,2,37214
33,12/24/2020,1,37215
2,12/24/2020,2,37215
14,12/24/2020,1,37216
7,12/24/2020,1,37217
1,12/24/2020,1,37218
2,12/24/2020,1,37219
9,12/24/2020,1,37220
75,12/24/2020,1,37221
4,12/24/2020,1,37228
1,12/25/2020,1,
14,12/25/2020,1,37013
8,12/25/2020,1,37072
10,12/25/2020,1,37076
2,12/25/2020,1,37080
4,12/25/2020,1,37115
5,12/25/2020,1,37138
1,12/25/2020,1,37201
28,12/25/2020,1,37203
16,12/25/2020,1,37204
33,12/25/2020,1,37205
19,12/25/2020,1,37206
6,12/25/2020,1,37207
1,12/25/2020,2,37207
12,12/25/2020,1,37208
51,12/25/2020,1,37209
6,12/25/2020,1,37210
30,12/25/2020,1,37211
54,12/25/2020,1,37212
9,12/25/2020,1,37214
50,12/25/2020,1,37215
12,12/25/2020,1,37216
7,12/25/2020,1,37217
3,12/25/2020,1,37218
2,12/25/2020,1,37219
8,12/25/2020,1,37220
50,12/25/2020,1,37221
1,12/25/2020,1,37228
3,12/26/2020,1,
22,12/26/2020,1,37013
21,12/26/2020,1,37072
31,12/26/2020,1,37076
3,12/26/2020,1,37080
14,12/26/2020,1,37115
30,12/26/2020,1,37138
3,12/26/2020,1,37189
2,12/26/2020,1,37201
36,12/26/2020,1,37203
1,12/26/2020,2,37203
29,12/26/2020,1,37204
54,12/26/2020,1,37205
39,12/26/2020,1,37206
20,12/26/2020,1,37207
21,12/26/2020,1,37208
57,12/26/2020,1,37209
1,12/26/2020,2,37209
3,12/26/2020,1,37210
54,12/26/2020,1,37211
43,12/26/2020,1,37212
18,12/26/2020,1,37214
44,12/26/2020,1,37215
23,12/26/2020,1,37216
12,12/26/2020,1,37217
8,12/26/2020,1,37218
3,12/26/2020,1,37219
7,12/26/2020,1,37220
82,12/26/2020,1,37221
2,12/26/2020,1,37228
2,12/27/2020,1,
18,12/27/2020,1,37013
7,12/27/2020,1,37072
15,12/27/2020,1,37076
1,12/27/2020,2,37076
3,12/27/2020,1,37080
6,12/27/2020,1,37115
6,12/27/2020,1,37138
1,12/27/2020,1,37189
1,12/27/2020,1,37201
26,12/27/2020,1,37203
19,12/27/2020,1,37204
38,12/27/2020,1,37205
1,12/27/2020,2,37205
14,12/27/2020,1,37206
10,12/27/2020,1,37207
16,12/27/2020,1,37208
49,12/27/2020,1,37209
10,12/27/2020,1,37210
34,12/27/2020,1,37211
24,12/27/2020,1,37212
21,12/27/2020,1,37214
33,12/27/2020,1,37215
11,12/27/2020,1,37216
5,12/27/2020,1,37217
3,12/27/2020,1,37218
1,12/27/2020,1,37219
3,12/27/2020,1,37220
65,12/27/2020,1,37221
1,12/27/2020,1,37228
11,12/28/2020,1,
122,12/28/2020,1,37013
84,12/28/2020,1,37072
66,12/28/2020,1,37076
26,12/28/2020,1,37080
47,12/28/2020,1,37115
44,12/28/2020,1,37138
9,12/28/2020,1,37189
4,12/28/2020,1,37201
72,12/28/2020,1,37203
43,12/28/2020,1,37204
149,12/28/2020,1,37205
1,12/28/2020,2,37205
51,12/28/2020,1,37206
2,12/28/2020,2,37206
47,12/28/2020,1,37207
36,12/28/2020,1,37208
109,12/28/2020,1,37209
22,12/28/2020,1,37210
90,12/28/2020,1,37211
43,12/28/2020,1,37212
42,12/28/2020,1,37214
57,12/28/2020,1,37215
28,12/28/2020,1,37216
1,12/28/2020,2,37216
35,12/28/2020,1,37217
27,12/28/2020,1,37218
3,12/28/2020,1,37219
16,12/28/2020,1,37220
138,12/28/2020,1,37221
2,12/28/2020,1,37228
15,12/29/2020,1,
134,12/29/2020,1,37013
1,12/29/2020,2,37013
2,12/29/2020,1,37027
86,12/29/2020,1,37072
110,12/29/2020,1,37076
19,12/29/2020,1,37080
67,12/29/2020,1,37115
53,12/29/2020,1,37138
37,12/29/2020,1,37189
4,12/29/2020,1,37201
97,12/29/2020,1,37203
50,12/29/2020,1,37204
162,12/29/2020,1,37205
67,12/29/2020,1,37206
77,12/29/2020,1,37207
49,12/29/2020,1,37208
1,12/29/2020,2,37208
136,12/29/2020,1,37209
1,12/29/2020,2,37209
17,12/29/2020,1,37210
125,12/29/2020,1,37211
1,12/29/2020,2,37211
56,12/29/2020,1,37212
1,12/29/2020,2,37212
2,12/29/2020,1,37213
80,12/29/2020,1,37214
48,12/29/2020,1,37215
37,12/29/2020,1,37216
1,12/29/2020,2,37216
52,12/29/2020,1,37217
30,12/29/2020,1,37218
3,12/29/2020,1,37219
26,12/29/2020,1,37220
158,12/29/2020,1,37221
11,12/29/2020,1,37228
18,12/30/2020,1,
1,12/30/2020,2,
183,12/30/2020,1,37013
115,12/30/2020,1,37072
115,12/30/2020,1,37076
27,12/30/2020,1,37080
74,12/30/2020,1,37115
77,12/30/2020,1,37138
16,12/30/2020,1,37189
7,12/30/2020,1,37201
97,12/30/2020,1,37203
2,12/30/2020,2,37203
68,12/30/2020,1,37204
1,12/30/2020,2,37204
137,12/30/2020,1,37205
1,12/30/2020,2,37205
77,12/30/2020,1,37206
123,12/30/2020,1,37207
1,12/30/2020,2,37207
70,12/30/2020,1,37208
195,12/30/2020,1,37209
120,12/30/2020,1,37210
276,12/30/2020,1,37211
82,12/30/2020,1,37212
1,12/30/2020,1,37213
92,12/30/2020,1,37214
97,12/30/2020,1,37215
1,12/30/2020,2,37215
55,12/30/2020,1,37216
70,12/30/2020,1,37217
32,12/30/2020,1,37218
7,12/30/2020,1,37219
26,12/30/2020,1,37220
224,12/30/2020,1,37221
1,12/30/2020,2,37221
7,12/30/2020,1,37228
6,12/31/2020,1,
70,12/31/2020,1,37013
40,12/31/2020,1,37072
43,12/31/2020,1,37076
3,12/31/2020,1,37080
35,12/31/2020,1,37115
1,12/31/2020,2,37115
32,12/31/2020,1,37138
3,12/31/2020,1,37189
53,12/31/2020,1,37203
36,12/31/2020,1,37204
42,12/31/2020,1,37205
39,12/31/2020,1,37206
1,12/31/2020,2,37206
51,12/31/2020,1,37207
26,12/31/2020,1,37208
99,12/31/2020,1,37209
1,12/31/2020,2,37209
16,12/31/2020,1,37210
74,12/31/2020,1,37211
54,12/31/2020,1,37212
1,12/31/2020,1,37213
39,12/31/2020,1,37214
35,12/31/2020,1,37215
45,12/31/2020,1,37216
17,12/31/2020,1,37217
13,12/31/2020,1,37218
6,12/31/2020,1,37219
14,12/31/2020,1,37220
96,12/31/2020,1,37221
1,12/31/2020,1,37228
8,01/01/2021,1,37013
6,01/01/2021,1,37072
1,01/01/2021,2,37072
9,01/01/2021,1,37076
6,01/01/2021,2,37076
2,01/01/2021,1,37080
2,01/01/2021,1,37115
5,01/01/2021,1,37138
1,01/01/2021,1,37189
1,01/01/2021,2,37189
1,01/01/2021,1,37203
1,01/01/2021,2,37203
3,01/01/2021,1,37204
1,01/01/2021,2,37204
21,01/01/2021,1,37205
4,01/01/2021,2,37205
4,01/01/2021,1,37206
1,01/01/2021,2,37206
11,01/01/2021,1,37207
2,01/01/2021,2,37207
1,01/01/2021,1,37208
1,01/01/2021,2,37208
8,01/01/2021,1,37209
3,01/01/2021,2,37209
1,01/01/2021,1,37210
7,01/01/2021,1,37211
2,01/01/2021,2,37211
6,01/01/2021,1,37212
1,01/01/2021,2,37212
11,01/01/2021,1,37214
25,01/01/2021,1,37215
3,01/01/2021,2,37215
5,01/01/2021,1,37216
2,01/01/2021,2,37216
5,01/01/2021,1,37217
2,01/01/2021,1,37218
1,01/01/2021,1,37219
4,01/01/2021,1,37220
20,01/01/2021,1,37221
6,01/01/2021,2,37221
17,01/02/2021,1,
1,01/02/2021,2,
69,01/02/2021,1,37013
3,01/02/2021,1,37027
62,01/02/2021,1,37072
55,01/02/2021,1,37076
8,01/02/2021,1,37080
43,01/02/2021,1,37115
1,01/02/2021,2,37115
40,01/02/2021,1,37138
3,01/02/2021,1,37189
1,01/02/2021,1,37201
80,01/02/2021,1,37203
50,01/02/2021,1,37204
77,01/02/2021,1,37205
66,01/02/2021,1,37206
32,01/02/2021,1,37207
24,01/02/2021,1,37208
119,01/02/2021,1,37209
23,01/02/2021,1,37210
96,01/02/2021,1,37211
82,01/02/2021,1,37212
40,01/02/2021,1,37214
87,01/02/2021,1,37215
2,01/02/2021,2,37215
31,01/02/2021,1,37216
21,01/02/2021,1,37217
17,01/02/2021,1,37218
6,01/02/2021,1,37219
25,01/02/2021,1,37220
112,01/02/2021,1,37221
6,01/02/2021,1,37228
15,01/03/2021,1,37013
8,01/03/2021,1,37072
8,01/03/2021,1,37076
1,01/03/2021,1,37080
12,01/03/2021,1,37115
3,01/03/2021,1,37138
1,01/03/2021,1,37201
26,01/03/2021,1,37203
10,01/03/2021,1,37204
18,01/03/2021,1,37205
5,01/03/2021,1,37206
7,01/03/2021,1,37207
10,01/03/2021,1,37208
50,01/03/2021,1,37209
3,01/03/2021,1,37210
25,01/03/2021,1,37211
44,01/03/2021,1,37212
1,01/03/2021,1,37213
3,01/03/2021,1,37214
17,01/03/2021,1,37215
6,01/03/2021,1,37216
2,01/03/2021,1,37217
4,01/03/2021,1,37218
2,01/03/2021,1,37219
3,01/03/2021,1,37220
28,01/03/2021,1,37221
7,01/04/2021,1,
182,01/04/2021,1,37013
47,01/04/2021,1,37072
26,01/04/2021,1,37076
11,01/04/2021,1,37080
1,01/04/2021,2,37080
21,01/04/2021,1,37115
1,01/04/2021,2,37115
37,01/04/2021,1,37138
2,01/04/2021,1,37189
2,01/04/2021,1,37201
31,01/04/2021,1,37203
35,01/04/2021,1,37204
1,01/04/2021,2,37204
146,01/04/2021,1,37205
3,01/04/2021,2,37205
42,01/04/2021,1,37206
24,01/04/2021,1,37207
16,01/04/2021,1,37208
65,01/04/2021,1,37209
1,01/04/2021,2,37209
9,01/04/2021,1,37210
59,01/04/2021,1,37211
20,01/04/2021,1,37212
33,01/04/2021,1,37214
1,01/04/2021,2,37214
55,01/04/2021,1,37215
23,01/04/2021,1,37216
18,01/04/2021,1,37217
5,01/04/2021,1,37218
6,01/04/2021,1,37219
13,01/04/2021,1,37220
1,01/04/2021,2,37220
80,01/04/2021,1,37221
1,01/04/2021,2,37221
20,01/04/2021,1,37228
5,01/05/2021,1,
2,01/05/2021,2,
83,01/05/2021,1,37013
15,01/05/2021,2,37013
42,01/05/2021,1,37072
2,01/05/2021,2,37072
36,01/05/2021,1,37076
6,01/05/2021,2,37076
6,01/05/2021,1,37080
1,01/05/2021,2,37080
24,01/05/2021,1,37115
2,01/05/2021,2,37115
22,01/05/2021,1,37138
2,01/05/2021,2,37138
2,01/05/2021,1,37189
2,01/05/2021,2,37189
2,01/05/2021,1,37201
47,01/05/2021,1,37203
12,01/05/2021,2,37203
16,01/05/2021,1,37204
9,01/05/2021,2,37204
128,01/05/2021,1,37205
68,01/05/2021,2,37205
21,01/05/2021,1,37206
9,01/05/2021,2,37206
18,01/05/2021,1,37207
5,01/05/2021,2,37207
26,01/05/2021,1,37208
7,01/05/2021,2,37208
49,01/05/2021,1,37209
24,01/05/2021,2,37209
10,01/05/2021,1,37210
1,01/05/2021,2,37210
45,01/05/2021,1,37211
7,01/05/2021,2,37211
43,01/05/2021,1,37212
9,01/05/2021,2,37212
37,01/05/2021,1,37214
2,01/05/2021,2,37214
26,01/05/2021,1,37215
23,01/05/2021,2,37215
13,01/05/2021,1,37216
4,01/05/2021,2,37216
19,01/05/2021,1,37217
6,01/05/2021,2,37217
17,01/05/2021,1,37218
9,01/05/2021,1,37220
5,01/05/2021,2,37220
64,01/05/2021,1,37221
19,01/05/2021,2,37221
22,01/05/2021,1,37228
6,01/06/2021,1,
1,01/06/2021,2,
69,01/06/2021,1,37013
31,01/06/2021,2,37013
92,01/06/2021,1,37072
16,01/06/2021,2,37072
35,01/06/2021,1,37076
25,01/06/2021,2,37076
7,01/06/2021,1,37080
1,01/06/2021,2,37080
30,01/06/2021,1,37115
9,01/06/2021,2,37115
31,01/06/2021,1,37138
12,01/06/2021,2,37138
4,01/06/2021,1,37189
4,01/06/2021,2,37189
1,01/06/2021,1,37201
2,01/06/2021,2,37201
41,01/06/2021,1,37203
51,01/06/2021,2,37203
30,01/06/2021,1,37204
30,01/06/2021,2,37204
165,01/06/2021,1,37205
101,01/06/2021,2,37205
30,01/06/2021,1,37206
20,01/06/2021,2,37206
32,01/06/2021,1,37207
19,01/06/2021,2,37207
19,01/06/2021,1,37208
22,01/06/2021,2,37208
66,01/06/2021,1,37209
51,01/06/2021,2,37209
11,01/06/2021,1,37210
4,01/06/2021,2,37210
71,01/06/2021,1,37211
23,01/06/2021,2,37211
31,01/06/2021,1,37212
24,01/06/2021,2,37212
1,01/06/2021,1,37213
1,01/06/2021,2,37213
39,01/06/2021,1,37214
12,01/06/2021,2,37214
87,01/06/2021,1,37215
54,01/06/2021,2,37215
23,01/06/2021,1,37216
11,01/06/2021,2,37216
25,01/06/2021,1,37217
4,01/06/2021,2,37217
14,01/06/2021,1,37218
3,01/06/2021,2,37218
3,01/06/2021,1,37219
1,01/06/2021,2,37219
16,01/06/2021,1,37220
8,01/06/2021,2,37220
93,01/06/2021,1,37221
64,01/06/2021,2,37221
1,01/06/2021,1,37228
3,01/06/2021,2,37228
7,01/07/2021,1,
1,01/07/2021,2,
72,01/07/2021,1,37013
23,01/07/2021,2,37013
19,01/07/2021,1,37072
24,01/07/2021,2,37072
44,01/07/2021,1,37076
27,01/07/2021,2,37076
7,01/07/2021,1,37080
6,01/07/2021,2,37080
33,01/07/2021,1,37115
7,01/07/2021,2,37115
32,01/07/2021,1,37138
12,01/07/2021,2,37138
6,01/07/2021,1,37189
6,01/07/2021,2,37189
2,01/07/2021,1,37201
1,01/07/2021,2,37201
107,01/07/2021,1,37203
52,01/07/2021,2,37203
18,01/07/2021,1,37204
24,01/07/2021,2,37204
122,01/07/2021,1,37205
99,01/07/2021,2,37205
27,01/07/2021,1,37206
12,01/07/2021,2,37206
42,01/07/2021,1,37207
18,01/07/2021,2,37207
26,01/07/2021,1,37208
23,01/07/2021,2,37208
89,01/07/2021,1,37209
47,01/07/2021,2,37209
12,01/07/2021,1,37210
5,01/07/2021,2,37210
74,01/07/2021,1,37211
30,01/07/2021,2,37211
51,01/07/2021,1,37212
13,01/07/2021,2,37212
66,01/07/2021,1,37214
11,01/07/2021,2,37214
50,01/07/2021,1,37215
61,01/07/2021,2,37215
35,01/07/2021,1,37216
12,01/07/2021,2,37216
23,01/07/2021,1,37217
7,01/07/2021,2,37217
16,01/07/2021,1,37218
7,01/07/2021,2,37218
1,01/07/2021,1,37219
2,01/07/2021,2,37219
20,01/07/2021,1,37220
10,01/07/2021,2,37220
105,01/07/2021,1,37221
45,01/07/2021,2,37221
10,01/07/2021,1,37228
5,01/08/2021,1,
