name,total_students,econ_disadv,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa,pct_econ_disadv
Knowledge Academy,148,43,1.0,3.0,3.0,,,1.0,29.054054054054053
Lakeview Elementary,557,244,3.0,4.0,2.0,,,4.0,43.806104129263915
Liberty Collegiate Academy,418,181,3.0,4.0,1.0,,,3.0,43.301435406698566
Lockeland Elementary,293,9,4.0,4.0,4.0,,,,3.0716723549488054
Madison Middle,572,350,1.0,3.0,4.0,,,1.0,61.18881118881119
Maplewood High,761,465,1.0,0.0,1.0,2.0,2.0,0.0,61.10381077529566
Margaret Allen Middle,496,248,1.0,2.0,2.0,,,3.0,50.0
Martin Luther King Jr School,1268,129,4.0,4.0,4.0,4.0,4.0,,10.173501577287066
May Werthan Shayne Elementary School,774,183,4.0,2.0,4.0,,,4.0,23.643410852713178
McGavock Elementary,282,132,2.0,2.0,4.0,,,4.0,46.808510638297875
McGavock High,2248,810,1.0,0.0,4.0,3.0,4.0,0.0,36.032028469750884
McMurray Middle,804,386,1.0,4.0,4.0,,,2.0,48.00995024875622
Meigs Middle,690,58,4.0,3.0,4.0,,,,8.405797101449275
Middle College High,175,34,4.0,3.0,4.0,4.0,4.0,,19.428571428571427
Moses McKissack Middle,304,245,1.0,0.0,4.0,,,1.0,80.5921052631579
Mt. View Elementary,704,250,2.0,2.0,3.0,,,3.0,35.51136363636363
Napier Elementary,297,267,3.0,4.0,4.0,,,,89.8989898989899
Nashville Academy of Computer Science,217,124,3.0,4.0,0.0,,,2.0,57.14285714285714
Nashville Big Picture High School,146,43,3.0,2.0,4.0,,,,29.45205479452055
Nashville Classical,440,149,4.0,2.0,4.0,,,,33.86363636363636
Nashville Prep,284,153,2.0,4.0,1.0,,,1.0,53.87323943661971
Nashville School Of The Arts,563,81,3.0,3.0,2.0,3.0,4.0,,14.387211367673181
Norman Binkley Elementary,632,281,3.0,4.0,2.0,,,4.0,44.462025316455694
Old Center Elementary,359,174,2.0,3.0,4.0,,,3.0,48.467966573816156
Paragon Mills Elementary,614,318,1.0,4.0,4.0,,,3.0,51.79153094462541
Park Avenue Elementary,358,262,2.0,4.0,3.0,,,,73.18435754189943
Pearl-Cohn High,605,430,1.0,0.0,2.0,2.0,2.0,,71.07438016528926
Pennington Elementary,294,83,4.0,4.0,2.0,,,1.0,28.2312925170068
Percy Priest Elementary,502,7,4.0,3.0,4.0,,,,1.394422310756972
Purpose Prep,366,152,4.0,1.0,4.0,,,,41.53005464480874
RePublic High School,610,229,0.0,0.0,0.0,,,2.0,37.540983606557376
Robert Churchwell Elementary,285,242,3.0,4.0,2.0,,,,84.91228070175438
Robert E. Lillard Elementary,237,174,2.0,2.0,4.0,,,,73.41772151898735
Rocketship Nashville Northeast Elementary,479,358,4.0,4.0,1.0,,,3.0,74.73903966597078
Rocketship United,546,261,3.0,2.0,1.0,,,3.0,47.8021978021978
Rose Park Middle,442,95,3.0,0.0,4.0,,,,21.49321266968326
Rosebank Elementary,314,152,2.0,2.0,4.0,,,,48.40764331210191
Ruby Major Elementary,473,173,3.0,4.0,2.0,,,3.0,36.57505285412262
Shwab Elementary,340,169,3.0,4.0,4.0,,,3.0,49.705882352941174
Smith Springs Elementary School,662,242,3.0,4.0,4.0,,,3.0,36.5558912386707
Smithson Craighead Academy,204,105,2.0,4.0,2.0,,,3.0,51.470588235294116
Stanford Elementary,403,66,3.0,4.0,4.0,,,3.0,16.377171215880892
STEM Prep Academy,517,211,2.0,4.0,4.0,,,3.0,40.81237911025145
STEM Prep High School,489,166,1.0,3.0,3.0,,,1.0,33.94683026584867
Stratford STEM Magnet School,960,598,1.0,0.0,4.0,4.0,2.0,1.0,62.291666666666664
Stratton Elementary,504,280,0.0,4.0,0.0,,,3.0,55.55555555555556
Strive Collegiate Academy,379,118,0.0,0.0,2.0,,,1.0,31.13456464379947
Sylvan Park Elementary,425,65,4.0,4.0,4.0,,,,15.294117647058824
The Academy at Hickory Hollow,50,22,,,,1.0,1.0,0.0,44.0
The Academy at Old Cockrill,83,47,,4.0,0.0,2.0,3.0,,56.62650602409639
The Academy at Opry Mills,57,22,,,1.0,0.0,2.0,,38.59649122807017
The Cohn Learning Center,53,41,0.0,0.0,1.0,1.0,,,77.35849056603774
Thomas A. Edison Elementary,805,327,2.0,4.0,4.0,,,3.0,40.62111801242236
Thurgood Marshall Middle,967,382,1.0,2.0,4.0,,,2.0,39.50361944157187
Tom Joy Elementary,371,265,1.0,4.0,4.0,,,2.0,71.42857142857143
Tulip Grove Elementary,553,224,2.0,3.0,4.0,,,4.0,40.50632911392405
Tusculum Elementary,773,388,2.0,4.0,4.0,,,4.0,50.19404915912031
Two Rivers Middle,410,202,1.0,0.0,2.0,,,2.0,49.26829268292683
Una Elementary,727,280,1.0,2.0,2.0,,,4.0,38.514442916093536
Valor Flagship Academy,943,252,4.0,4.0,4.0,,,4.0,26.723223753976672
Valor Voyager Academy,497,145,4.0,4.0,4.0,,,3.0,29.175050301810867
Warner Elementary,214,181,2.0,4.0,4.0,,,4.0,84.57943925233646
Waverly-Belmont Elementary School,494,107,4.0,2.0,4.0,,,,21.65991902834008
West End Middle,503,112,3.0,0.0,2.0,,,,22.266401590457257
Westmeade Elementary,422,132,3.0,4.0,4.0,,,3.0,31.27962085308057
William Henry Oliver Middle,985,252,2.0,0.0,4.0,,,2.0,25.583756345177665
Wright Middle,810,400,1.0,1.0,4.0,,,0.0,49.382716049382715
