Year,Quarter,County,Value,LastReportedDate,
2016,,Cheatham,40832.0000,2018-10-23
2016,,Chester,33613.0000,2018-10-23
2016,,Claiborne,34520.0000,2018-10-23
2016,,Clay,30399.0000,2018-10-23
2016,,Cocke,33041.0000,2018-10-23
2016,,Coffee,43095.0000,2018-10-23
2016,,Crockett,38655.0000,2018-10-23
2016,,Cumberland,33066.0000,2018-10-23
2016,,Davidson,56323.0000,2018-10-23
2016,,Decatur,35865.0000,2018-10-23
2016,,DeKalb,35616.0000,2018-10-23
2016,,Dickson,37402.0000,2018-10-23
2016,,Dyer,37098.0000,2018-10-23
2016,,Fayette,42801.0000,2018-10-23
2016,,Fentress,31254.0000,2018-10-23
2016,,Franklin,34591.0000,2018-10-23
2016,,Gibson,34533.0000,2018-10-23
2016,,Giles,37690.0000,2018-10-23
2016,,Grainger,34862.0000,2018-10-23
2016,,Greene,36766.0000,2018-10-23
2016,,Grundy,26565.0000,2018-10-23
2016,,Hamblen,37397.0000,2018-10-23
2016,,Hamilton,47604.0000,2018-10-23
2016,,Hancock,25801.0000,2018-10-23
2016,,Hardeman,37371.0000,2018-10-23
2016,,Hardin,42389.0000,2018-10-23
2016,,Hawkins,38812.0000,2018-10-23
2016,,Haywood,37809.0000,2018-10-23
2016,,Henderson,36229.0000,2018-10-23
2016,,Henry,36104.0000,2018-10-23
2016,,Hickman,35257.0000,2018-10-23
2016,,Houston,29427.0000,2018-10-23
2016,,Humphreys,46069.0000,2018-10-23
2016,,Jackson,33104.0000,2018-10-23
2016,,Jefferson,39881.0000,2018-10-23
2016,,Johnson,40350.0000,2018-10-23
2016,,Knox,46437.0000,2018-10-23
2016,,Lake,30591.0000,2018-10-23
2016,,Lauderdale,35426.0000,2018-10-23
2016,,Lawrence,33215.0000,2018-10-23
2016,,Lewis,29218.0000,2018-10-23
2016,,Lincoln,35846.0000,2018-10-23
2016,,Loudon,39687.0000,2018-10-23
2016,,Macon,31624.0000,2018-10-23
2016,,Madison,40797.0000,2018-10-23
2016,,Marion,35731.0000,2018-10-23
2016,,Marshall,37954.0000,2018-10-23
2016,,Maury,44995.0000,2018-10-23
2016,,McMinn,41680.0000,2018-10-23
2016,,Mcnairy,31360.0000,2018-10-23
2016,,Meigs,35763.0000,2018-10-23
2016,,Monroe,37893.0000,2018-10-23
