FY,County,Category,Value,LastReportedDate,
2011,Anderson,Per 1,000 people,52,2018-05-17 00:00:00.0000000
2011,Anderson,Total served,508,2018-05-17 00:00:00.0000000
2011,Bedford,Per 1,000 people,37,2018-05-17 00:00:00.0000000
2011,Bedford,Total served,211,2018-05-17 00:00:00.0000000
2011,Benton,Per 1,000 people,45,2018-05-17 00:00:00.0000000
2011,Benton,Total served,136,2018-05-17 00:00:00.0000000
2011,Bledsoe,Per 1,000 people,21,2018-05-17 00:00:00.0000000
2011,Bledsoe,Total served,63,2018-05-17 00:00:00.0000000
2011,Blount,Per 1,000 people,50,2018-05-17 00:00:00.0000000
2011,Blount,Total served,678,2018-05-17 00:00:00.0000000
2011,Bradley,Per 1,000 people,22,2018-05-17 00:00:00.0000000
2011,Bradley,Total served,322,2018-05-17 00:00:00.0000000
2011,Campbell,Per 1,000 people,34,2018-05-17 00:00:00.0000000
2011,Campbell,Total served,238,2018-05-17 00:00:00.0000000
2011,Cannon,Per 1,000 people,23,2018-05-17 00:00:00.0000000
2011,Cannon,Total served,42,2018-05-17 00:00:00.0000000
2011,Carroll,Per 1,000 people,47,2018-05-17 00:00:00.0000000
2011,Carroll,Total served,214,2018-05-17 00:00:00.0000000
2011,Carter,Per 1,000 people,20,2018-05-17 00:00:00.0000000
2011,Carter,Total served,218,2018-05-17 00:00:00.0000000
2011,Cheatham,Per 1,000 people,27,2018-05-17 00:00:00.0000000
2011,Cheatham,Total served,113,2018-05-17 00:00:00.0000000
2011,Chester,Per 1,000 people,27,2018-05-17 00:00:00.0000000
2011,Chester,Total served,66,2018-05-17 00:00:00.0000000
2011,Claiborne,Per 1,000 people,48,2018-05-17 00:00:00.0000000
2011,Claiborne,Total served,275,2018-05-17 00:00:00.0000000
2011,Clay,Per 1,000 people,18,2018-05-17 00:00:00.0000000
2011,Clay,Total served,29,2018-05-17 00:00:00.0000000
2011,Cocke,Per 1,000 people,66,2018-05-17 00:00:00.0000000
2011,Cocke,Total served,465,2018-05-17 00:00:00.0000000
2011,Coffee,Per 1,000 people,42,2018-05-17 00:00:00.0000000
2011,Coffee,Total served,277,2018-05-17 00:00:00.0000000
2011,Crockett,Per 1,000 people,28,2018-05-17 00:00:00.0000000
2011,Crockett,Total served,57,2018-05-17 00:00:00.0000000
2011,Cumberland,Per 1,000 people,34,2018-05-17 00:00:00.0000000
2011,Cumberland,Total served,252,2018-05-17 00:00:00.0000000
2011,Davidson,Per 1,000 people,35,2018-05-17 00:00:00.0000000
2011,Davidson,Total served,3133,2018-05-17 00:00:00.0000000
2011,Decatur,Per 1,000 people,44,2018-05-17 00:00:00.0000000
2011,Decatur,Total served,84,2018-05-17 00:00:00.0000000
2011,DeKalb,Per 1,000 people,32,2018-05-17 00:00:00.0000000
2011,DeKalb,Total served,109,2018-05-17 00:00:00.0000000
2011,Dickson,Per 1,000 people,48,2018-05-17 00:00:00.0000000
2011,Dickson,Total served,303,2018-05-17 00:00:00.0000000
2011,Dyer,Per 1,000 people,67,2018-05-17 00:00:00.0000000
2011,Dyer,Total served,364,2018-05-17 00:00:00.0000000
2011,Fayette,Per 1,000 people,28,2018-05-17 00:00:00.0000000
2011,Fayette,Total served,128,2018-05-17 00:00:00.0000000
2011,Fentress,Per 1,000 people,20,2018-05-17 00:00:00.0000000
2011,Fentress,Total served,71,2018-05-17 00:00:00.0000000
2011,Franklin,Per 1,000 people,30,2018-05-17 00:00:00.0000000
2011,Franklin,Total served,171,2018-05-17 00:00:00.0000000
2011,Gibson,Per 1,000 people,59,2018-05-17 00:00:00.0000000
2011,Gibson,Total served,385,2018-05-17 00:00:00.0000000
2011,Giles,Per 1,000 people,60,2018-05-17 00:00:00.0000000
2011,Giles,Total served,241,2018-05-17 00:00:00.0000000
2011,Grainger,Per 1,000 people,38,2018-05-17 00:00:00.0000000
2011,Grainger,Total served,144,2018-05-17 00:00:00.0000000
2011,Greene,Per 1,000 people,62,2018-05-17 00:00:00.0000000
2011,Greene,Total served,645,2018-05-17 00:00:00.0000000
2011,Grundy,Per 1,000 people,17,2018-05-17 00:00:00.0000000
2011,Grundy,Total served,53,2018-05-17 00:00:00.0000000
2011,Hamblen,Per 1,000 people,44,2018-05-17 00:00:00.0000000
