address,vicinity,name,type
"2001 Belmont Blvd, Nashville","2001 Belmont Boulevard, Nashville",Redbox,"['movie_rental', 'point_of_interest', 'store', 'establishment']"
"405 McNally Dr, Nashville","405 Mc Nally Drive, Nashville",Chinos auto repair,"['car_repair', 'point_of_interest', 'establishment']"
"405 McNally Dr, Nashville","405 Mc Nally Drive, Nashville",Dubon Auto Repair,"['car_repair', 'point_of_interest', 'establishment']"
"405 McNally Dr, Nashville","405 Mc Nally Drive, Nashville","Modern Feng Shui Design,LLC","['point_of_interest', 'establishment']"
"405 McNally Dr, Nashville","405 Mc Nally Drive, Nashville",Modern Auto Sales,"['car_dealer', 'point_of_interest', 'store', 'establishment']"
"405 McNally Dr, Nashville","405 Mc Nally Drive, Nashville",SR Mechanic Shop & Service,"['car_repair', 'point_of_interest', 'establishment']"
"708 N 1st St, Nashville","708 North 1st Street, Nashville",Chef's Deal Restaurant Equipment,"['point_of_interest', 'store', 'establishment']"
"708 N 1st St, Nashville","708 Dickerson Pike, Nashville",Chef's Deal Restaurant Equipment,"['point_of_interest', 'store', 'establishment']"
"200 Duke Dr, Nan","200 Duke Drive Ste 200, Lebanon",O'Reilly Auto Parts,"['electronics_store', 'car_repair', 'point_of_interest', 'store', 'establishment']"
"200 Duke Dr, Nan","200 Duke Drive, Lebanon",Ozark Automotive,"['storage', 'point_of_interest', 'establishment']"
"800 5th Ave S, Nashville","800 5th Avenue South, Nashville",Public Storage,"['storage', 'point_of_interest', 'store', 'establishment']"
"7128 US-70S, Nashville","7128 Highway 70 South, Nashville",Champion Car Wash,"['car_wash', 'point_of_interest', 'establishment']"
"1 Ingram Blvd, Nan","1 Ingram Boulevard, La Vergne",Ingram Content Group LLC,"['point_of_interest', 'establishment']"
"1 Ingram Blvd, Nan","1 Ingram Boulevard, La Vergne",Spring Arbor Distributors Inc,"['point_of_interest', 'establishment']"
"1 Ingram Blvd, Nan","1 Ingram Boulevard, La Vergne",Ernest Hilbert,"['point_of_interest', 'establishment']"
"398 Harding Pl, Nashville","398 Harding Place, Nashville",Sonic Drive-In,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
"1415 W Main St, Nan","1415 West Main Street, Franklin",Wilson Taxidermy,"['point_of_interest', 'establishment']"
"2547 Nashville Hwy, Nan","2547 Nashville Highway, Columbia",J P Custom Flooring,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
"2547 Nashville Hwy, Nan","2547 Nashville Highway Suite A, Columbia",Legacy Coffee Co.,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
"2547 Nashville Hwy, Nan","2547 Nashville Highway Suite C, Columbia",Strategic Advantage Firearms Education,"['point_of_interest', 'establishment']"
"2547 Nashville Hwy, Nan","2547 Nashville Highway Suite C, Columbia",Office 1 Time,"['point_of_interest', 'establishment']"
"8171 TN-100, Nashville","8171 Tennessee 100, Nashville",Doggie Doo's,"['point_of_interest', 'establishment']"
"5544 Clarksville Pike, Joelton","5544 Clarksville Pike, Joelton",Titan Nail Spa,"['beauty_salon', 'point_of_interest', 'establishment']"
"1415 Murfreesboro road, Nashville","1415 Murfreesboro Pike, Nashville",Genesco Inc,"['shoe_store', 'point_of_interest', 'store', 'establishment']"
"1415 Murfreesboro road, Nashville","1415 Murfreesboro Pike, Nashville",Columbia Firefighters Association,"['point_of_interest', 'establishment']"
"1415 Murfreesboro road, Nashville","1415 Murfreesboro Pike # 602, Nashville",Immgration & Customs Enfrcmnt,"['point_of_interest', 'establishment']"
"1415 Murfreesboro road, Nashville","1415 Murfreesboro Pike # 664, Nashville",Faithful+gould,"['general_contractor', 'point_of_interest', 'establishment']"
"213 Connell St, Goodlettsville","213 Connell Street, Goodlettsville",Treeworks Chimes,"['point_of_interest', 'establishment']"
"213 Connell St, Goodlettsville","213 Connell Street Bldg #1, Goodlettsville",Performance Service & Electrical LLC,"['point_of_interest', 'establishment']"
"2404 Crestmoor Rd, Nashville","2404 Crestmoor Road, Nashville",Cheadle Law by John R. Cheadle Jr.,"['point_of_interest', 'establishment']"
"2404 Crestmoor Rd, Nashville","2404 Crestmoor Road, Nashville",W Alexander Steele Office,"['finance', 'point_of_interest', 'establishment']"
"2404 Crestmoor Rd, Nashville","2404 Crestmoor Road, Nashville",Cheadle Dudley A,"['lawyer', 'point_of_interest', 'establishment']"
"2404 Crestmoor Rd, Nashville","2404 Crestmoor Road, Nashville",Jarman Development Group,"['general_contractor', 'point_of_interest', 'establishment']"
"2404 Crestmoor Rd, Nashville","2404 Crestmoor Road, Nashville",Barnard Mary K,"['lawyer', 'point_of_interest', 'establishment']"
"1200 Donelson Ave, Old Hickory","1200 Donelson Avenue, Old Hickory",Chopper's Grill,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"5300 Nolensville Pike, Nashville","5300 Nolensville Pike, Nashville",KOUZINA CAFE GYROS & SUBS,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"5300 Nolensville Pike, Nashville","5300 Nolensville Pike # 105, Nashville",J S Beauty & Hair,"['point_of_interest', 'store', 'establishment']"
"3807 Nolensville Pike, Nashville","3807 Nolensville Pike, Nashville",Kountry Kloudz Smoke Shop,"['point_of_interest', 'store', 'establishment']"
