address,vicinity,name,type
"1905 Hayes St, Nashville","1905 Hayes Street, Nashville",Las Palmas Mexican Restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"460 Long Hollow Pike, Nan","460 Long Hollow Pike, Goodlettsville",Redbox,"['movie_rental', 'point_of_interest', 'store', 'establishment']"
"460 Long Hollow Pike, Nan","460 Long Hollow Pike, Goodlettsville",Publix Super Market at Caldwell Square,"['grocery_or_supermarket', 'bakery', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
"460 Long Hollow Pike, Nan","460 Long Hollow Pike, Goodlettsville",City National Bank - ATM,"['atm', 'finance', 'point_of_interest', 'establishment']"
"460 Long Hollow Pike, Nan","460 Long Hollow Pike, Goodlettsville",higi,"['health', 'point_of_interest', 'establishment']"
"2180 Bandywood Dr, Nashville","2180 Bandywood Drive, Nashville",Jacobs Matt,"['beauty_salon', 'hair_care', 'point_of_interest', 'establishment']"
"5304 Mt View Rd, Antioch","5304 Mount View Road # J, Antioch",Lynn Mark OD,"['health', 'point_of_interest', 'establishment']"
"135 Belle Forest Cir, Nashville","135 Belle Forest Circle #2103, Nashville",Bishop's Salon & Day Spa,"['beauty_salon', 'hair_care', 'spa', 'point_of_interest', 'establishment']"
"4425 Murphy Rd, Nashville","4425 Murphy Road, Nashville",Neighbors of Sylvan Park,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"823 Woodland St, Nashville","823 Woodland Street, Nashville",The Crying Wolf,"['bar', 'point_of_interest', 'establishment']"
"333 Swinging Bridge Rd, Old Hickory","333 Swinging Bridge Road, Old Hickory",Full Throttle Bar and Grill,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"810 Kirkwood Ave, Nashville","810 Kirkwood Avenue, Nashville",Dabado Salon,"['hair_care', 'point_of_interest', 'establishment']"
"810 Kirkwood Ave, Nashville","810 Kirkwood Avenue, Nashville",Christopher Does Hair,"['hair_care', 'point_of_interest', 'store', 'establishment']"
"454 Moss Trail, Goodlettsville","454 Moss Trail, Goodlettsville",FOX Collection Center,"['finance', 'point_of_interest', 'establishment']"
"511 Union St, Nashville","511 Union Street, Nashville",Utilize Health,"['doctor', 'health', 'point_of_interest', 'establishment']"
"511 Union St, Nashville","511 Union Street #1530, Nashville",JohnsonPossKirby Government Relations,"['point_of_interest', 'establishment']"
"511 Union St, Nashville","511 Union Street Suite 720, Nashville",The Governor’s Foundation for Health and Wellness,"['point_of_interest', 'establishment']"
"511 Union St, Nashville","511 Union Street #710, Nashville",Schmidt Government Solutions LLC,"['point_of_interest', 'establishment']"
"511 Union St, Nashville","511 Union Street Suite 2700, Nashville",Donald B. Stuart,"['lawyer', 'accounting', 'finance', 'point_of_interest', 'establishment']"
"577 Donelson Pike, Nashville","577 Donelson Pike, Nashville",Raceway,"['gas_station', 'point_of_interest', 'establishment']"
"577 Donelson Pike, Nashville","577 Donelson Pike, Nashville",ATM (Raceway),"['atm', 'finance', 'point_of_interest', 'establishment']"
"15541 Old Hickory Blvd, Nashville","15541 Old Hickory Boulevard, Nashville",Supercuts,"['beauty_salon', 'hair_care', 'health', 'point_of_interest', 'establishment']"
"2915 Gallatin Pike, Nashville","2915 Gallatin Pike, Nashville",Eastside Music Supply,"['electronics_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
"4744 Lebanon Rd, Hermitage","4744 Lebanon Road, Hermitage",KFC,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"5255 Hickory Hollow Pkwy, Antioch","5255 Hickory Hollow Parkway, Antioch",Cavalry Logistics,"['point_of_interest', 'establishment']"
"5255 Hickory Hollow Pkwy, Antioch","5255 Hickory Hollow Parkway, Antioch",Universal Capacity Solutions,"['point_of_interest', 'establishment']"
"1536 Gallatin Pike N, Madison","1536 Gallatin Pike North, Madison",Greenway Kia of Rivergate,"['finance', 'car_dealer', 'point_of_interest', 'store', 'establishment']"
"1 University Park Dr, Nashville","1 University Park Drive, Nashville",Pieter Valk Counseling,"['health', 'point_of_interest', 'establishment']"
"1 University Park Dr, Nashville","1 University Park Drive, Nashville",Leadership Tennessee,"['point_of_interest', 'establishment']"
"1 University Park Dr, Nashville","1 University Park Drive, Nashville",Lipscomb University College of Pharmacy and Health Sciences,"['university', 'point_of_interest', 'establishment']"
"1 University Park Dr, Nashville","1 University Park Drive, Nashville",Electric Vehicle Charging Station,"['point_of_interest', 'establishment']"
"525 Shelby Ave, Nashville","525 Shelby Avenue, Nashville",Edgefield Manor & Annex,"['local_government_office', 'point_of_interest', 'establishment']"
"525 Shelby Ave, Nashville","525 Shelby Avenue, Nashville",Mental Health Co-Op Shelby,"['health', 'point_of_interest', 'establishment']"
"3435 Lebanon Pike, Hermitage","3435 Lebanon Pike, Hermitage",El gorila raspado 3,"['point_of_interest', 'establishment']"
"3435 Lebanon Pike, Hermitage","3435 Lebanon Pike, Hermitage",MoneyGram,"['finance', 'point_of_interest', 'establishment']"
"3435 Lebanon Pike, Hermitage","3435 Lebanon Pike, Hermitage",Chợ Mễ hermitage,"['shopping_mall', 'point_of_interest', 'establishment']"
"3435 Lebanon Pike, Hermitage","3435 Lebanon Pike, Hermitage",LOS PAISANOS WORLD MARKET,"['supermarket', 'grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
"207 Franklin Rd, Nan","207 Franklin Road, Brentwood",Del Frisco's Grille,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"7555 Sawyer Brown Rd, Nashville","7555 Sawyer Brown Road, Nashville",Nashville Christian School,"['school', 'point_of_interest', 'establishment']"
"1620 21st Ave S, Nashville","1620 21st Avenue South, Nashville",Village 21,"['real_estate_agency', 'point_of_interest', 'establishment']"
"1345 Neelys Bend Rd, Madison","1345 Neelys Bend Road, Madison",Neely's Bend Baptist Church,"['place_of_worship', 'point_of_interest', 'establishment']"
"306 TN-6, Nashville","306 North Gallatin Pike North, Madison",Fifth Third Bank & ATM,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']"
"55 E Thompson Ln, Nashville","55 East Thompson Lane Suite 105, Nashville",Honest Indian Restaurant Nashville,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"55 E Thompson Ln, Nashville","55 East Thompson Lane Suite 100, Nashville",Kroger Training Center,"['point_of_interest', 'establishment']"
"55 E Thompson Ln, Nashville","55 East Thompson Lane Suite 106, Nashville",Sally Beauty,"['point_of_interest', 'store', 'establishment']"
"1006 Buchanan St, Nashville","1006 Buchanan Street, Nashville",The Rollout,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"1006 Buchanan St, Nashville","1006 Buchanan Street, Nashville",Slim & Husky’s - The Rollout (Take Out Only),"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
"4678 Eatons Creek Rd, Nashville","4678 Eatons Creek Road, Nashville",Woodland Hollow at Annie Acres,"['point_of_interest', 'establishment']"
"700 Main St, Nashville","700 Main Street, Nashville",East Park Donuts & Coffee,"['bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']"
"1118 Dickerson Pike, Nashville","1118 Dickerson Pike, Nashville",Dollar General,"['grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'store', 'establishment']"
"2006 Murfreesboro Pike, Nashville","2006 Murfreesboro Pike, Nashville",Mr. C's Cleaners,"['laundry', 'point_of_interest', 'establishment']"
"118 12th Ave S, Nashville","118 12th Avenue South, Nashville",Whiskey Kitchen,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"3904 Nolensville Pike, Nashville","3904 Nolensville Pike, Nashville",U-Haul of Elysian Field,"['moving_company', 'storage', 'point_of_interest', 'store', 'establishment']"
"1 Titans Way, Nashville","1 Titans Way, Nashville",Nissan Stadium,"['stadium', 'point_of_interest', 'establishment']"
"1 Titans Way, Nashville","1 Titans Way, Nashville",GardaWorld,"['point_of_interest', 'establishment']"
"1 Titans Way, Nashville","1 Titans Way, Nashville",Nissan Stadium Lot N-Drive-Through,"['health', 'point_of_interest', 'establishment']"
"2340 Murfreesboro Pike, Nashville","2340 Murfreesboro Pike, Nashville",AutoZone Auto Parts,"['car_repair', 'point_of_interest', 'store', 'establishment']"
"4104 Hillsboro Cir, Nashville","4104 Hillsboro Circle, Nashville",Wendy's,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"540 Opry Mills Dr, Nashville","540 Opry Mills Drive, Nashville",Dave & Buster's,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']"
"1101 Neal St, Nan","1101 Neal Street, Cookeville","Tracy H. Epps, APN","['doctor', 'health', 'point_of_interest', 'establishment']"
"1101 Neal St, Nan","1101 Neal Street, Cookeville",Generations Mental Health Center Cookeville,"['doctor', 'health', 'point_of_interest', 'establishment']"
"1101 Neal St, Nan","1101 Neal Street, Cookeville","Dr. Steven G. Flatt, MD","['doctor', 'health', 'point_of_interest', 'establishment']"
"1101 Neal St, Nan","1101 Neal Street # 101, Cookeville",Generations Gaithers,"['health', 'point_of_interest', 'establishment']"
"1101 Neal St, Nan","1101 Neal Street # 102, Cookeville",Moore Stephen T DO,"['doctor', 'health', 'point_of_interest', 'establishment']"
"5301 Granny White Pike, Nashville","5301 Granny White Pike, Brentwood",Twice Daily (Granny White Market),"['convenience_store', 'bakery', 'cafe', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
"5301 Granny White Pike, Nashville","5301 Granny White Pike, Brentwood",Shell,"['gas_station', 'atm', 'convenience_store', 'finance', 'food', 'point_of_interest', 'store', 'establishment']"
"212 Broadway, Nashville","212 Broadway, Nashville",FedEx Office Print & Ship Center,"['point_of_interest', 'store', 'establishment']"
"212 Broadway, Nashville","212 Broadway 2nd floor, Nashville",The Nash Collection,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
"212 Broadway, Nashville","212 Broadway #400, Nashville",Hydralive Therapy Nashville,"['spa', 'health', 'point_of_interest', 'establishment']"
"2501 8th Ave S, Nashville","2501 Franklin Pike, Nashville",Sonic Drive-In,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
"5802 TN-24, Nashville","5802 Charlotte Pike, Nashville",Cook Out,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"2312 Elliston Pl, Nashville","2312 Elliston Place, Nashville",Elliston 23,"['point_of_interest', 'establishment']"
"208 E Old Hickory Blvd, Madison","208 East Old Hickory Boulevard, Madison",Emade Shaker-Disc Beer-Tobacco,"['point_of_interest', 'store', 'establishment']"
"208 E Old Hickory Blvd, Madison","208 East Old Hickory Boulevard, Madison",Nuevo Alba,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"140 5th Ave S, Nashville","140 5th Avenue South, Nashville",The Palm - Nashville,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"222 1st Ave N, Nashville","222 2nd Avenue North, Nashville",St Thomas Physician Services,"['point_of_interest', 'establishment']"
"116 21st Ave N, Nashville","116 21st Avenue North, Nashville",Sitar Indian Resturant,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"1201 12 Stones Crossing, Nan","1201 West 12 Stones Crossing, Goodlettsville",Twelve Stones Golf Club,"['point_of_interest', 'establishment']"
"1201 12 Stones Crossing, Nan","1201 West 12 Stones Crossing, Goodlettsville",Sand Trap at 12 Stones,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"1201 12 Stones Crossing, Nan","1201 12 Stones Crossing, Goodlettsville",Joshua's at Twelve Stones Crossing,"['cemetery', 'point_of_interest', 'establishment']"
"419 US-70, Nashville","419 Broadway, Nashville",Nashville Crossroads,"['night_club', 'bar', 'point_of_interest', 'establishment']"
"738 Thompson Ln, Nashville","738 Thompson Lane, Nashville",Thai Kitchen,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"3940 Apache Trail, Antioch","3940 Apache Trail, Antioch",Hickory Lake Apartments,"['point_of_interest', 'establishment']"
"5114 Old Hickory Blvd, Hermitage","5114 Old Hickory Boulevard #201, Hermitage",Discseel Hermitage Clinic,"['doctor', 'health', 'point_of_interest', 'establishment']"
"5114 Old Hickory Blvd, Hermitage","5114 Old Hickory Boulevard Suite 203, Hermitage",Nashville Spine Institute,"['doctor', 'health', 'point_of_interest', 'establishment']"
"5114 Old Hickory Blvd, Hermitage","5114 Old Hickory Boulevard Suite 200, Hermitage",Excel Dental Care,"['dentist', 'doctor', 'health', 'point_of_interest', 'establishment']"
"5114 Old Hickory Blvd, Hermitage","5114 Old Hickory Boulevard #202, Hermitage",Excel Dental Training Institute,"['university', 'health', 'point_of_interest', 'establishment']"
"5114 Old Hickory Blvd, Hermitage","5114 Old Hickory Boulevard, Hermitage",Resort Ownership Resolutions,"['lodging', 'point_of_interest', 'establishment']"
"601 12th Ave S, Nashville","601 12th Avenue South, Nashville",Sambuca,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"601 12th Ave S, Nashville","601 12th Avenue South, Nashville",Nashville Weddings,"['point_of_interest', 'establishment']"
"301 Broadway, Nashville","301 Broadway, Nashville",Luke Bryan's 32 Bridge,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"5703b Nolensville Pike, Nashville","5703 Nolensville Pike, Nashville",SunTrust ATM,"['atm', 'finance', 'point_of_interest', 'establishment']"
"2410 12th Ave S, Nashville","2410 12th Avenue South, Nashville",Embers Ski Lodge,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"619 Murfreesboro Pike, Nan","619 Murfreesboro Pike, Nashville",The Horn Coffee,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
"2100 West End Ave, Nashville","2100 West End Avenue, Nashville",Ruth's Chris Steak House,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"412 White Bridge Pl, Nashville","412 White Bridge Place, Nashville",Comfort Inn Nashville West,"['lodging', 'point_of_interest', 'establishment']"
"412 White Bridge Pl, Nashville","412 White Bridge Place, Nashville",vanderbilt college,"['school', 'point_of_interest', 'establishment']"
"318 Broadway, Nashville","318 Broadway, Nashville",Boot Barn,"['shoe_store', 'point_of_interest', 'clothing_store', 'store', 'establishment']"
"3616 Anderson Rd, Nashville","3616 Anderson Road Unit 6, Nashville",Subway,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"419 N Main St, Goodlettsville","419 North Main Street #1519, Goodlettsville",Goodlettsville Barber Shop,"['hair_care', 'health', 'point_of_interest', 'establishment']"
"5510 Old Hickory Blvd, Hermitage","5510 Old Hickory Boulevard Ste A, Hermitage",Domino's Pizza,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"5510 Old Hickory Blvd, Hermitage","5510 Old Hickory Boulevard B, Hermitage",Style America,"['beauty_salon', 'hair_care', 'health', 'point_of_interest', 'establishment']"
"8028b TN-100, Nashville","8028 Tennessee 100, Nashville",City National Bank - ATM,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']"
"8028b TN-100, Nashville","8028 Tennessee 100, Nashville",Presto! ATM at Publix®,"['atm', 'finance', 'point_of_interest', 'establishment']"
"8028b TN-100, Nashville","8028-B, Tennessee 100, Nashville",U.S. Bank ATM - Highway 100 - Publix,"['atm', 'finance', 'point_of_interest', 'establishment']"
"519 Gallatin Ave, Nashville","519 Gallatin Avenue, Nashville",Local Honey,"['hair_care', 'point_of_interest', 'clothing_store', 'store', 'establishment']"
"519 Gallatin Ave, Nashville","519 Gallatin Avenue B, Nashville",Barista Parlor,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
"8th Ave S, Nashville","8th Avenue South N, Nashville",Iworah Chuck DC,"['health', 'point_of_interest', 'establishment']"
"801 Jefferson St, Nashville","801 Jefferson Street, Nashville",MAPCO Mart,"['gas_station', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
"801 Jefferson St, Nashville","801 Jefferson Street, Nashville",bp,"['gas_station', 'atm', 'finance', 'point_of_interest', 'establishment']"
"224 A Thompson Ln, Nashville","224 A Thompson Lane, Nashville",Oasis salon & Barbershop,"['hair_care', 'health', 'point_of_interest', 'establishment']"
"132 S Main St, Goodlettsville","132 Tennessee 11, Goodlettsville",Coin Laundry,"['point_of_interest', 'establishment']"
"132 S Main St, Goodlettsville","132 South Main Street #130, Goodlettsville",Chic Artique,"['furniture_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
"1600 McGavock St, Nashville","1600 McGavock Street, Nashville",Nashville Medicare Specialists,"['insurance_agency', 'point_of_interest', 'establishment']"
"1600 McGavock St, Nashville","1600 McGavock Street #608, Nashville","Physical Fitness Program Nashville, TN | Best You, LLC","['gym', 'health', 'point_of_interest', 'establishment']"
"2421 New Salem Rd, Nan","2421 New Salem Road, Murfreesboro",Dollar General,"['grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'store', 'establishment']"
"2400 Charlotte Ave, Nashville","2400 Charlotte Avenue Suite #121, Nashville",Spirinity Productions | Nashville,"['point_of_interest', 'establishment']"
"2400 Charlotte Ave, Nashville","2400 Charlotte Avenue, Nashville",Charlotte at Midtown,"['point_of_interest', 'establishment']"
"2174 Gallatin Pike N, Madison","2174 Gallatin Pike North, Madison",Dollar General,"['grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'store', 'establishment']"
"2613 8th Ave S, Nashville","2613 8th Avenue South Suite 105, Nashville",Vape zone,"['point_of_interest', 'store', 'establishment']"
"2613 8th Ave S, Nashville","2613 8th Avenue South #104, Nashville",Lavish Nails,"['beauty_salon', 'spa', 'point_of_interest', 'establishment']"
"2613 8th Ave S, Nashville","2613 Franklin Pike #104, Nashville",T Nails,"['beauty_salon', 'point_of_interest', 'establishment']"
"2613 8th Ave S, Nashville","2613 Franklin Pike #105, Nashville",Nashville Bat Removal,"['point_of_interest', 'establishment']"
"101 1st Ave S, Nashville","101 Broadway, Nashville",Acme Farm Supply Building,"['point_of_interest', 'establishment']"
"101 1st Ave S, Nashville","101 Broadway, Nashville",Acme Radio Live,"['point_of_interest', 'establishment']"
"101 1st Ave S, Nashville","101 Broadway, Nashville",Acme Feed & Seed,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"101 1st Ave S, Nashville","101 1st Avenue South, Nashville",LibertyX Bitcoin ATM,"['atm', 'finance', 'point_of_interest', 'store', 'establishment']"
"3996 Hillsboro Pike, Nashville","3996 Hillsboro Pike, Nashville",True Food Kitchen,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"701 S 7th St, Nashville","701 South 7th Street, Nashville",James A. Cayce Homes,"['point_of_interest', 'establishment']"
"329 Murfreesboro Pike, Nashville","329 Murfreesboro Pike, Nashville",Trevecca Center for Rehabilitation and Healing,"['health', 'point_of_interest', 'establishment']"
"7665B US-70S, Nashville","7665 Highway 70 South, Nashville",Tool & Truck Rental Center at The Home Depot,"['point_of_interest', 'establishment']"
"7665B US-70S, Nashville","7665 Highway 70 South, Nashville",Pro Desk at The Home Depot,"['point_of_interest', 'store', 'establishment']"
"7665B US-70S, Nashville","7665 Highway 70 South, Nashville",The Home Depot,"['hardware_store', 'furniture_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
"7665B US-70S, Nashville","7665 Highway 70 South, Nashville",Compact Power Equipment Rental,"['point_of_interest', 'establishment']"
"1201 Church St, Nashville","1201 Church Street, Nashville",Gossett on Church,"['point_of_interest', 'establishment']"
"4104 Hillsboro Pike, Nashville","4104 Hillsboro Pike, Nashville",Barber Extraordinaire,"['hair_care', 'health', 'point_of_interest', 'establishment']"
"4104 Hillsboro Pike, Nashville","4104 Hillsboro Pike Suite 5, Nashville",Belle Hair Collection,"['hair_care', 'point_of_interest', 'establishment']"
"4104 Hillsboro Pike, Nashville","4104 Hillsboro Pike, Nashville",Patio Coiffure Inc,"['beauty_salon', 'point_of_interest', 'establishment']"
"4104 Hillsboro Pike, Nashville","4104 Hillsboro Pike #1, Nashville",Rocks And Metals Jewelry,"['jewelry_store', 'point_of_interest', 'store', 'establishment']"
"4104 Hillsboro Pike, Nashville","4104 Hillsboro Pike # 5, Nashville",Bon Ton Hair Salon,"['beauty_salon', 'point_of_interest', 'establishment']"
"300 Broadway, Nashville","300 Broadway, Nashville",Ole Red,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']"
"300 Broadway, Nashville","300 Broadway, Nashville",The Lookout at Ole Red,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']"
"410 5th Ave S, Nashville","410 5th Avenue South, Nashville",Residence Inn by Marriott Nashville Downtown,"['lodging', 'point_of_interest', 'establishment']"
"410 5th Ave S, Nashville","410 5th Avenue South, Nashville",SpringHill Suites by Marriott Nashville Downtown/Convention Center,"['lodging', 'point_of_interest', 'establishment']"
"410 5th Ave S, Nashville","410 5th Avenue South, Nashville",AC Hotel by Marriott Nashville Downtown,"['lodging', 'point_of_interest', 'establishment']"
"7112 US-70S, Nashville","7112 Highway 70 South, Nashville",CVS Photo,"['electronics_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
"7112 US-70S, Nashville","7112 Highway 70 South, Nashville",VyStar Credit Union ATM,"['atm', 'finance', 'point_of_interest', 'establishment']"
"7112 US-70S, Nashville","7112 Highway 70 South, Nashville",UPS Access Point location,"['point_of_interest', 'establishment']"
"1250 Robinson Rd, Old Hickory","1250 Robinson Road, Old Hickory",Life Care,"['hospital', 'health', 'point_of_interest', 'establishment']"
"1250 Robinson Rd, Old Hickory","1250 Robinson Road, Old Hickory",Life Care Center of Old Hickory Village,"['health', 'point_of_interest', 'establishment']"
"1250 Robinson Rd, Old Hickory","1250 Robinson Road, Old Hickory",Morgan Construction,"['general_contractor', 'point_of_interest', 'establishment']"
"2808 Columbine Pl, Nashville","2808 Columbine Place, Nashville",Style Sara,"['beauty_salon', 'hair_care', 'point_of_interest', 'establishment']"
"2808 Columbine Pl, Nashville","2808 Columbine Place, Nashville",Release of Nashville,"['doctor', 'spa', 'health', 'point_of_interest', 'establishment']"
"4709 Gallatin Pike, Nashville","4709 Gallatin Pike, Nashville",Mobley Veterinary Clinic,"['pharmacy', 'veterinary_care', 'health', 'point_of_interest', 'store', 'establishment']"
"4709 Gallatin Pike, Nashville","4709 Gallatin Pike, Nashville",Mobley Veterinary Clinic: Mobley Summerfield DVM,"['veterinary_care', 'point_of_interest', 'establishment']"
"4709 Gallatin Pike, Nashville","4709 Gallatin Pike, Nashville",John S. Robison DVM,"['veterinary_care', 'point_of_interest', 'establishment']"
"12110 Lebanon Rd, Nan","12110 Lebanon Road, Mt. Juliet",Old Friends Senior Dog Sanctuary,"['point_of_interest', 'establishment']"
"5500 Old Hickory Blvd, Hermitage","5500-5570 Old Hickory Boulevard, Hermitage",Northlake Village,"['shopping_mall', 'grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
"5500 Old Hickory Blvd, Hermitage","5500 Old Hickory Boulevard, Hermitage",O'Charley’s Restaurant & Bar,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"5323 Mt View Rd, Antioch","5323 Mount View Road, Antioch","Joseph D. Weatherford, OD","['doctor', 'health', 'point_of_interest', 'establishment']"
"5323 Mt View Rd, Antioch","5323 Mount View Road, Antioch",McIndoe Yen D OD,"['health', 'point_of_interest', 'establishment']"
"5323 Mt View Rd, Antioch","5323 Mount View Road, Antioch",Mallory Jennifer K OD,"['health', 'point_of_interest', 'establishment']"
"5323 Mt View Rd, Antioch","5323 Mount View Road, Antioch",Walley Brandon W OD,"['health', 'point_of_interest', 'establishment']"
"101 46th Ave N, Nashville","101 46th Avenue North, Nashville",McCabe Park Community Center,"['point_of_interest', 'establishment']"
"101 46th Ave N, Nashville","101 46th Avenue North, Nashville",McCabe Recreation Center,"['point_of_interest', 'establishment']"
"101 46th Ave N, Nashville","101 46th Avenue North, Nashville",Nashville GreenBikes - McCabe Park,"['point_of_interest', 'establishment']"
"5765 Old Hickory Blvd, Hermitage","5765 Old Hickory Boulevard, Hermitage",Taco Bell,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"6050 Dana Way, Antioch","6050 Dana Way #300, Antioch",Store Fixtures Nashville- Barr Display,"['point_of_interest', 'establishment']"
"6050 Dana Way, Antioch","6050 Dana Way, Antioch",UCS Auto Parts,"['car_repair', 'point_of_interest', 'store', 'establishment']"
"6050 Dana Way, Antioch","6050 Dana Way, Antioch",Simplicity Creative Group,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
"6050 Dana Way, Antioch","6050 Dana Way Ste 250, Antioch",Christie Lites Nashville,"['storage', 'point_of_interest', 'establishment']"
"6050 Dana Way, Antioch","6050 Dana Way, Antioch",Cimetra,"['storage', 'point_of_interest', 'establishment']"
"401 11th Ave S, Nashville","401 11th Avenue South, Nashville",Thompson Nashville,"['lodging', 'point_of_interest', 'establishment']"
"401 11th Ave S, Nashville","401 11th Avenue South, Nashville",Killebrew Coffee,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
"401 11th Ave S, Nashville","401 11th Avenue South, Nashville",L.A. Jackson,"['bar', 'point_of_interest', 'establishment']"
"2045 Antioch Pike, Antioch","2045 Antioch Pike, Antioch",Los Paisanos,"['night_club', 'bar', 'point_of_interest', 'establishment']"
"2800 Opryland Dr, Nashville","2800 Opryland Dr, Nashville",Best Buy Express Kiosk,"['point_of_interest', 'establishment']"
"2800 Opryland Dr, Nashville","2800 Opryland Drive, Nashville",fiddler,"['lodging', 'point_of_interest', 'establishment']"
"2800 Opryland Dr, Nashville","2800 Opryland Drive, Nashville",Swarovski at Gaylord Opryland,"['jewelry_store', 'point_of_interest', 'store', 'establishment']"
"2607 12th Ave S, Nashville","2607 12th Avenue South, Nashville",White Bison Coffee,"['convenience_store', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
"2607 12th Ave S, Nashville","2607 12th Avenue South, Nashville",Twice Daily,"['convenience_store', 'bakery', 'cafe', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
"3200 Clarksville Pike, Nashville","3200 Clarksville Highway, Nashville",TIGERMARKET #203,"['gas_station', 'point_of_interest', 'establishment']"
"800 Main St, Nashville","800 Main Street, Nashville",BofA ATM,"['bank', 'finance', 'point_of_interest', 'establishment']"
"800 Main St, Nashville","800 Main Street, Nashville",Bank of America ATM (Drive-thru),"['atm', 'finance', 'point_of_interest', 'establishment']"
"800 Main St, Nashville","800 Main Street, Nashville",U-Haul Neighborhood Dealer,"['point_of_interest', 'establishment']"
"800 Main St, Nashville","800 Main Street, Nashville",Twenty Twenty,"['store', 'point_of_interest', 'establishment']"
"130 LifeWay Plaza, Nashville","130 LifeWay Plaza, Nashville",Frankie Pierce Park,"['park', 'point_of_interest', 'establishment']"
"3131 Dickerson Rd, Nashville","3131 Dickerson Road, Nashville",Wendy's,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"651 Thompson Ln, Nashville","651 Thompson Lane, Nashville",Tennessee Glass Co,"['furniture_store', 'home_goods_store', 'general_contractor', 'point_of_interest', 'store', 'establishment']"
"401 7th Ave N, Nashville","401 7th Avenue North, Nashville",The Tennessee Judiciary Museum,"['museum', 'point_of_interest', 'establishment']"
"401 7th Ave N, Nashville","401 7th Avenue North, Nashville",Tennessee Supreme Court,"['courthouse', 'point_of_interest', 'establishment']"
"401 7th Ave N, Nashville","401 7th Avenue North, Nashville",Honorable Andy D Bennett,"['local_government_office', 'point_of_interest', 'establishment']"
"401 7th Ave N, Nashville","401 7th Avenue North, Nashville",Honorable Frank G Clement,"['local_government_office', 'point_of_interest', 'establishment']"
"401 7th Ave N, Nashville","401 7th Avenue North, Nashville",Honorable Sharon Gail Lee,"['local_government_office', 'point_of_interest', 'establishment']"
