County,Date,Value,LastReportedDate,
Carter,2018-04-30,2514832.2900,2018-05-22
Carter,2018-03-31,2117113.8700,2018-06-25
Carter,2018-01-31,2572462.3900,2018-04-16
Carter,2018-02-28,2045931.1000,2018-04-16
Carter,2017-09-30,2331739.6600,2018-04-16
Carter,2017-07-31,2599841.1200,2018-04-16
Carter,2017-08-31,2386137.8300,2018-04-16
Carter,2017-12-31,2333656.9300,2018-04-16
Carter,2017-10-31,2479048.3300,2018-04-16
Carter,2017-11-30,2316076.4900,2018-04-16
Carter,2018-06-30,2555965.0000,2018-11-29
Carter,2018-05-31,2404029.3900,2018-10-17
Cheatham,2018-05-31,1709023.6300,2018-10-17
Cheatham,2018-06-30,1911999.0900,2018-11-29
Cheatham,2017-10-31,1686057.3700,2018-04-16
Cheatham,2017-12-31,1443537.9900,2018-04-16
Cheatham,2017-11-30,1556556.3500,2018-04-16
Cheatham,2017-07-31,1789500.8700,2018-04-16
Cheatham,2017-09-30,1564083.7000,2018-04-16
Cheatham,2017-08-31,1632268.8100,2018-04-16
Cheatham,2018-01-31,1756530.1200,2018-04-16
Cheatham,2018-03-31,1429677.1200,2018-06-25
Cheatham,2018-02-28,1402990.5500,2018-04-16
Cheatham,2018-04-30,2182001.0400,2018-05-22
Chester,2018-04-30,754039.1800,2018-05-22
Chester,2018-02-28,537448.5100,2018-04-16
Chester,2018-03-31,596176.6000,2018-06-25
Chester,2018-01-31,647380.9000,2018-04-16
Chester,2017-08-31,606739.4400,2018-04-16
Chester,2017-09-30,744849.7700,2018-04-16
Chester,2017-07-31,609363.0700,2018-04-16
Chester,2017-11-30,624347.0000,2018-04-16
Chester,2017-12-31,561835.1600,2018-04-16
Chester,2017-10-31,627600.6400,2018-04-16
Chester,2018-06-30,690774.6700,2018-11-29
Chester,2018-05-31,684259.1800,2018-10-17
Claiborne,2018-05-31,1141268.3500,2018-10-17
Claiborne,2018-06-30,1229323.9700,2018-11-29
Claiborne,2017-10-31,1107903.6200,2018-04-16
Claiborne,2017-12-31,1078638.2200,2018-04-16
Claiborne,2017-11-30,1047445.8000,2018-04-16
Claiborne,2017-07-31,1165676.7800,2018-04-16
Claiborne,2017-09-30,1133973.3200,2018-04-16
Claiborne,2017-08-31,1132435.7400,2018-04-16
Claiborne,2018-01-31,1136078.7800,2018-04-16
Claiborne,2018-03-31,1115528.7900,2018-06-25
Claiborne,2018-02-28,846672.6200,2018-04-16
Claiborne,2018-04-30,1166452.3300,2018-05-22
Clay,2018-03-31,180290.3500,2018-06-25
Clay,2018-04-30,244808.3400,2018-05-22
Clay,2018-02-28,199789.8200,2018-04-16
Clay,2017-09-30,268582.2300,2018-04-16
Clay,2018-01-31,217556.2000,2018-04-16
Clay,2017-08-31,317675.0300,2018-04-16
Clay,2017-07-31,305285.1400,2018-04-16
Clay,2017-11-30,219529.1000,2018-04-16
Clay,2017-12-31,216653.5100,2018-04-16
Clay,2017-10-31,260973.3200,2018-04-16
Clay,2018-06-30,322462.3400,2018-11-29
Clay,2018-05-31,243516.0700,2018-10-17
